source_id,source_name,source_category,source_type,target_id,target_name,target_category,target_type,relationship_type
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Inaccurate word reading,SYM_Inaccurate word reading,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Slow effortful reading,SYM_Slow effortful reading,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Difficulty understanding reading meaning,SYM_Difficulty understanding reading meaning,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Spelling difficulties,SYM_Spelling difficulties,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Written expression grammar difficulties,SYM_Written expression grammar difficulties,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Written expression clarity problems,SYM_Written expression clarity problems,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Number sense difficulties,SYM_Number sense difficulties,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Math fact memorization problems,SYM_Math fact memorization problems,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Inaccurate math calculation,SYM_Inaccurate math calculation,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Mathematical reasoning difficulties,SYM_Mathematical reasoning difficulties,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Attention-Deficit/Hyperactivity Disorder,Attention-Deficit/Hyperactivity Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Language Disorder,Language Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Speech Sound Disorder,Speech Sound Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Developmental Coordination Disorder,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Autism Spectrum Disorder,Autism Spectrum Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Generalized Anxiety Disorder,Generalized Anxiety Disorder,Anxiety Disorders,disorder,COMORBID_WITH
1,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,Major Depressive Disorder,Major Depressive Disorder,Depressive Disorders,disorder,COMORBID_WITH
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Delayed motor skill acquisition,SYM_Delayed motor skill acquisition,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Poor motor coordination,SYM_Poor motor coordination,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Clumsiness or dropping objects,SYM_Clumsiness or dropping objects,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Motor performance slowness and inaccuracy,SYM_Motor performance slowness and inaccuracy,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Difficulty with sports participation,SYM_Difficulty with sports participation,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Poor handwriting skills,SYM_Poor handwriting skills,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Difficulty with self-care tasks,SYM_Difficulty with self-care tasks,Neurodevelopmental Disorders,symptom,HAS_SYMPTOM
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Language Disorder,Language Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Speech Sound Disorder,Speech Sound Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Specific Learning Disorder,Specific Learning Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
2,Developmental Coordination Disorder,Neurodevelopmental Disorders,disorder,Attention-Deficit/Hyperactivity Disorder,Attention-Deficit/Hyperactivity Disorder,Neurodevelopmental Disorders,disorder,COMORBID_WITH
